37,i have a lot of kids.,i am making a scarf for my daughter.,I only have a daughter.  I'm making a scarf for her.,"I see a lot of people who don't eat meat around my age, and I'm not a fan of that either, but I still don't eat it.",I don't eat meat because I don't have any children.,One of my kids is allergic to meat.,I want to get rid of them all and start eating plants.,I like to eat lots of vegetables.
38,i have a lot of kids.,i am making a scarf for my daughter.,"For my other three kids, I'm making them all sweaters. I have a lot of kids and can't afford to buy them all presents, so I make them presents.",My kids all go to different gyms.,I have a lot of kids and I have to exercise to keep my muscles looking good.,I let my kids stay at my house when I go to the gym because I'm really into exercise.,I have a lot of kids and they all love to exercise.,When I first started getting my pregnant I was strict about how many children I had.
39,dolls are fun to play with.,my child cannot see.,I help my blind child learn about things by using educational dolls he can touch.,I love decorating my dolls with coverings.,I do that with my dolls at home.,I like to paint my dolls and such.,Especially when you can find them at the store I work at.,My favorite hobby is decorating my furniture with dolls.
40,dolls are fun to play with.,my child cannot see.,My daughter enjoys feeling the facial features on her dolls.,I just got a new walking stick recently. I love walking through nature with it.,I like to play with dolls in nature.,Walking through nature has made me really into a dolls owner.,I love to play with dolls.  I also like to be outside with nature.,I like having my dolls around.
42,i am not a good artist.,i like soccer.,"To be a good artist, one needs the talent. Although I don't have the talent of sport, I like soccer.",I do not like to show off my talents too much.,I am a homebody.,Working from home takes up a lot of hours.,I think I would be if I had more free time.,I am not a good artist either but I have a lot of free time so I can draw while I am working.
43,my mom is the best baker in my family.,i am in my second year of medical school.,My family are all doctors who aren't good at baking.,I like to listen to music with my family.,I listen to music while cooking so I don't get tired of it.,I like baking but I prefer music.,I like to cook when I'm not around my mom.,My mom is the best baker in my family because she doesn't mind listening to music.
44,i enjoy playing tennis.,my favorite place to go is the mall.,I enjoy going to walk in the mall.,I like to watch tennis during my break from studying for my masters.,I like to watch movies about tennis.,I like to watch movies about tennis.,I like to watch tennis in my free time.,I enjoy watching classic films.
45,i enjoy playing tennis.,my favorite place to go is the mall.,I am into indoor activities.,"I don't like to play tennis with my kids, too much stress.",I play tennis with my kids.,I don't have any kids.  I only have a spouse and a partner in law.,I do too.  We are from the US though.,I love to play tennis too but my husband and I live abroad currently.
47,i really enjoy doing vocals with the band.,i am a parent twice both children are young.,"I used to do that when I was younger. Now I have two kids of my own and they adore music, too.",I like to sing when I'm exercising.,I use the band as a warmup exercise.,"I always have a lot of fun doing that, especially when I'm exercising.",I like to sing when I'm exercising,I also like to workout.
48,i really enjoy doing vocals with the band.,i am a parent twice both children are young.,i remember being in a band when I was a child.,We have a few songs with a specific singer.,I like to do vocals with the band if I can get a good sound.,I saw them at a music festival a few months ago and they were incredible.,I like to listen to music with my pets.,my pet dogs sit next to me when i sing.
49,i really enjoy doing vocals with the band.,i am a parent twice both children are young.,Band practice is hard sometimes when you have a family to take care of.,when I'm not performing vocals I'm in the band.,I write songs for the band.,"I wish I could sing, but I'm a teacher.",I love performing in front of the band.  I'm a musician with a passion for teaching.,That sounds interesting.  If I don't get a job soon I will be a musician.
50,i am a cat owner.,i love to travel.,I want to visit the cat cafe in Portland.,I have two cats and they love to come inside of my house to play.,I have two cats and two dogs.  My oldest one is almost ten and I have had him since I was a toddler.,My two siblings and I adopted all of our cats from the streets.,My two siblings each have a cat.,My two siblings have two cats.  I love them too.
52,i found my spouse at a musical performance by a boy band.,i have an older brother and an older sister.,My brother is in a boy band.,I'm engaged to music.,I love music when I'm with my spouse.,That's really cool! I really like music.,They were performing a song about a love interest.,That must be a very special moment for you. I never met my spouse until I got married.
53,i found my spouse at a musical performance by a boy band.,i have an older brother and an older sister.,"That's cool! I met my current husband through my brother, do you have any siblings?",We are married now and have kids.,They were performing at my house because I take care of people.,My spouse is a musician.,The boy band that I take care of is performing at my job on Friday.,I am married to a doctor.
54,i found my spouse at a musical performance by a boy band.,i have an older brother and an older sister.,My siblings were not supportive of our relationship,That's cool! I like to go out to eat sometimes.,I like to go to restaurants when I'm not with my boyfriend.,I always wanted a husband.  I found my husband at a restaurant.,I met my husband at a musical performance by a boy band.  We married and had a kid.,I met my husband at a restaurant I like to go to.
55,i enjoy clothing with logos on it.,the temperature here is quite brisk and yet it is gorgeous after the thaw.,I have just been getting Wintet clothing since the temps here were much colder than usual for a few days.,I like to look at the logo on the collar of my new hockey jersey.,I like to go to different places that have logos on it.,I like to stick to clothes with logos on it.,I just bought a new sweater with a logo on it. I love it so much that I'm going to spend the rest of the winter decorating my house with it.,I love the smell of the ice and the coldness in the area.
56,i enjoy clothing with logos on it.,the temperature here is quite brisk and yet it is gorgeous after the thaw.,"I have a few name brand shirts, but it's really too cold to wear them outside right now.","I don't really care for science.  I love fashion, though.",I love science.,"If you don't like the logo on a clothing item, then you probably shouldn't purchase it.",I don't really like science or fashion.,It reminds me of the things science has come up with.
57,i enjoy clothing with logos on it.,the temperature here is quite brisk and yet it is gorgeous after the thaw.,I wear my logo sweatshirt in the cold weather outside.,I like logos on my clothes so much I want to work in tech.,I like to make tech clothes when not working.,I want to make money with it and become a designer.,"I do graphic design for a living and I want to work in tech because I like branding, especially on clothing.",I have a few logos on my clothes but none that say tech.
58,i lost one of my parents a while ago.,it is difficult for me to connect to others.,Losing a parent can cause a lot of stress.,"I lost one of my parents when I was gluten free, but I am gluten free now and my parents are still together.","That must have been hard to deal with, I'm sorry to hear that. I lost one of my parents recently as well.","My parents were a proud family, but I am gluten free.",I lost my mom at a gluten free restaurant.  I was so sad when I found out she was gluten free.,"I lost my parents when I was gluten free, but I am still gluten free, because I eat gluten free food."
59,i lost one of my parents a while ago.,it is difficult for me to connect to others.,I know I am affected by my parents dying when I was very young.,I just got a new job.,I hope you can find work soon.,I would love to see them when I get off work.,I have to stay home alone when I go to visit my parents.,How did you lose your parents?
61,in reality i am 32 and live at home with my mother.,i miss my dad.,Both of my parents died.,"I have made some great food at home, but I don't spend too much time cooking.",Having a home would be great for me.,I am the oldest of 3 children.,I eat out a lot because I stay busy by cooking.,I have a great mother.  I am a great cook.
62,we have a dog.,my parents are still married.,I also have a dog. I adopted it when my parents got divorced.,I used to have a dog.  It was part of my family.,I adopted my pet from a neighbor who lives on the other side of the country.,We have a dog together.,"I have a dog, too, but she doesn't belong to me.",One day I will have a dog and I will name him her after my family.
63,we have a dog.,my parents are still married.,My parents let me have a dog when I was a child.,It makes me sad when I hear people sing from the heart.,I don't like animals.  I like music.,"When I see people sing from the heart, I get depressed.",I love dogs.  I really like to listen to the songs of the dogs in the park.,Sometimes I remind myself that I am a dog owner and sometimes I remind myself that I am a human being.
64,we have a dog.,my parents are still married.,My parents have the same dog that they had 10 years when they first got married.,I like dogs.  I'm going to be a dentist.,It helps that my dog has a toothpick in his mouth.,I like dogs most because I think they're smart like humans and will figure out how to treat you.,I study to be a dentist and wanted to get a dog when I finished school.,I am studying to be a dentist because of my dog.
65,i visited europe in june.,i have a basic job.,"A lot of people think international travel is expensive, but even my very basic job allowed me to budget for it.",I like traveling with my glasses on.,I like the new glasses.,I went to Europe in june with my lenses.,I like to take my glasses off when I go to Europe.,I like to take pictures of my trip.
67,i visited europe in june.,i have a basic job.,I can't go to Europe because my job doesn't pay me enough.,I have three sons and two daughters.,We stayed at a hostel in France.,I visited Europe in June and my kids were very happy.  They had three sons and two daughters and they're all now adults.,I have been in Europe for the past three months and I visited my three sons and two daughters in June.,We had a summer vacation in France.
68,i am a grandmother.,i have been a wife for a short amount of time.,I am a newlywed with a grandchildren.,I don't have any kids but I have a few grandchildren.,I have a lot of grandchildren and they all have kids.,"When I was a child, my oldest son was baptized, but he is now an adult and I don't have any children.",I am a female grandparent.,My kids are all young.
70,i am a grandmother.,i have been a wife for a short amount of time.,I got married for the first time.,I like to visit my grandchildren often.,I am not allowed to see my grandkids often because I work so much.,I love to see my grandchildren when they go to see my favorite bands.,I always have a grandparent visiting me.,I like to visit my grandmother when I see them.  She is a great person.
71,i am a father.,i like basketball.,I grew up in a house that watched a lot of sports. I believe that's why I like basketball.,My mother is a nurse but she doesn't work any more.,My father has a job in healthcare.,My mom is a doctor and she works in healthcare.,I have two children from a previous marriage,I am a father.  I am a nurse.
72,i am a father.,i like basketball.,I really like to spent time outside with my boys playing basketball.  Fortunately I like basketball.,I'm also a father.  We have a large family together.,If my children grow up to be anything like my parents then I will be very happy.,My kids all have different names than me.,I am a father to three kids.,I am a father to three kids.
73,i am a father.,i like basketball.,I like basketball a lot and see a lot of fathers with their sons playing at the park I go to.,I like to cook different foods as a father.,Cooking is my job.,I cook son meals in the morning.,I have a daughter.  I cook her meals.,I've got a daughter.  She enjoys cooking and likes to eat different foods.
74,i love to eat cheese.,i like to cook stews.,Have you ever tried cooking in a Crock Pot?,I like to eat cheese with pancakes and syrup.,I like to eat a lot of pancakes and syrup because of that.,I like mexican foods more than pancakes and syrup.,I like to eat a lot of pancakes and syrup.,I like to eat pancakes and syrup with my breakfast.
75,i love to eat cheese.,i like to cook stews.,I like cheese as a side to a hot dish.  Like a stew or soup.,I don't like to eat anything plain.,I usually eat salads or berries when I'm eating cheese.,I love to eat cheese with salad.,I love to eat cheese and berries together so I also love salads and berries.,I always eat a salad when I'm cooking with cheese.
76,i love to eat cheese.,i like to cook stews.,"I'm lactose intolerant unfortunately. I prefer to make soups and stews, especially in this cold weather.",I eat cheese to fall asleep.,I eat cheese after a long night of sleep.,I eat a lot of cheese at night.,I eat so much cheese that I'm tired from it.,I eat cheese when I'm asleep.
77,i enjoy walking my canine friend.,i own a pet reptile.,I like animals and have a few different kinds of pets.,I like to take my dog to work.,I like to take my dog to the shelter when I'm not working.,I have a dog myself but she doesn't like to go outside.,I like spending time with my canine because it reminds me of home.,I like to take my dog for a walk when I'm working on roofs.
78,i enjoy walking my canine friend.,i own a pet reptile.,"I don't just have dogs, I also have other types of pets.",I love walking my canine and going to the park to relax.  I would love to open a restaurant someday.,I like to walk my dog when I'm not at my job.,I would love to work with dogs.,I like to walk my dog walking home from work.,I would like to walk my canine friend someday.
79,i enjoy walking my canine friend.,i own a pet reptile.,"How nice! I am an animal lover myself—in fact, I have a pet reptile at home!","I loved walking my dog when I was a child.  I could never have had a pet because I never had a dog, but I loved walking my dog.",My dog loves to walk too because he gets tired of having to take my cattle every morning.,I used to have dogs as pets.,if you don't have pets then let me have them.,Sometimes I'd like to pet my canine friend.
80,i love meat.,i have a new job selling cars.,My tastes are too expensive.,I love when people eat my pink hair.,I love pink meat.  I dyed my hair pink for Christmas.,I have pink hair because I dyed my hair pink because I love meat so much that I turned purple when I cooked it.,I am a meat an potatoes kind of person.,I enjoy meat a lot.
81,i love meat.,i have a new job selling cars.,I had a steak last night to celebrate my new job selling cars.,I love to cook meat for my coworkers,I don't feel old at all.,"I love meat too, I even think it's healthy for me.","I do too, but I really don't want to retire.","I like meat a lot too, but I just can't stop working no matter how old I become."
82,i have a short commute to get to my job.,i just moved out of my parents to live on my own.,Yeah that is likely the most stress-free way of doing it and saving money/time..,I always take public transportation to work.,"I have a short commute to get to my job, but I have to stop at my own hair salon.",I have to get to work early in the morning to avoid traffic.,I ride my bike to work.,I have to take a bus to get to my job.
83,i have a short commute to get to my job.,i just moved out of my parents to live on my own.,My parents live near where I work.,Sometimes I let my mind free to do creative things.,I like to relax by taking a nice stroll in the park with the kids.,I take a short drive to make sure I have enough time to relax before I head out for my job.,"I don't have a short commute at all, I take public transportation to work.",My job allows me to relax by taking a stroll in the park.
84,i have a short commute to get to my job.,i just moved out of my parents to live on my own.,One of the reasons I moved is because my new apartment is right next door to my job. It takes me five minutes to walk there.,It takes me about an hour to drive to work in the morning.,I usually drive to work.,I prefer driving.,I drive to work in the morning.,I like to go to the games on the weekends.
85,i like to race rc cars.,i love to eat fish.,I love when it rains.,When I am not racing I am out in the country.,I prefer to relax with music.,I really like to race cars and go to places that have lots of action.,"I like to run on the weekends, but I have to buy a new license when I go to the local race track.","Since I am not good at rc cars, I'm going to try and get her involved."
86,i like to race rc cars.,i love to eat fish.,Rc racing is my favorite hobby along with fishing.,I like to try new things.,I like to listen to music while I race.,I used to race rc cars when I was younger.  I prefer the music aspect of it.,"I like to race rc cars, but when I'm not racing I like to play music.",rc cars are fun to race on.  I like to race a lot of sports cars.
88,i learnt to drive.,i like making a salmon entree.,"That's awesome! Recently, I've started to learn how to cook, is there any dish you're good at making?",I was taught to drive by my dad.,I learned to drive when my child was two.,My son is now an adult and learned to drive.,I learned to drive.  I'm an adult now.,I still drive my car when I am not helping my children.
89,i learnt to drive.,i like making a salmon entree.,I had a rough night sleeping in my new bed last night.,It's nice to have a car to drive me anywhere.  I prefer driving in jeans.,I started with leather steering wheeled vehicles.,I like driving in my jeans.,Working on my car was one of my favorite things to do.,I like driving in my jeans.
90,i learnt to drive.,i like making a salmon entree.,I just learned to drive too. last night I drove to the store to pick up some salmon - it's my favorite fish. I make a great salmon entree.,I learned how to drive after I got my meat.,I learned to drive because my dad made me eat a lot of meat.,"That's cool, I learned to drive myself. I love to cook though! I love to make vegetarian meals.",I like to eat meat when I drive.,I learned to drive while I was working on my Masters in culinary arts.
91,i am in the army.,i fly airplanes.,I am in military also but in the airforce branch as a pilot.,I want to be a vet and take care of animals.,I want to be a vet because I want to save animals' lives.,I want to be a vet so I can save lives.,I want to volunteer and get my degree before I go overseas.,I want to be a vet and I heard there are a lot of positions available for veterinarians in the military.
92,i am in the army.,i fly airplanes.,"What a coincidence, I'm in the Air Force. I travel all over and fly airplanes.",I like watching football.,I watch sports in the army while I'm there fighting in the war.,I watch the military while I'm in the army.,I watch sports while in the army.,I like watching sports so I joined the military to watch sports.
93,i am a competitive ski racer.,although i ski down high hills,Thats cool. Those high hills look scary.,I like to train people in the online world.,I like to teach people to ski.,I have a lot of contacts in the ski community and have been studying the internet for years.,I also work for a snowboard shop.,I also teach ski racer lessons.
94,i am a competitive ski racer.,although i ski down high hills,I don't like high terrain.,"I try to stay active and compete every winter, but it is hard to find a partner who is into skiing.","I don't either, but I know a lot of people who do.",I am dating my cousin who is also a ski racer.,We have a lot in common then. I see you on the slopes a lot. How are you doing?,I haven't been able to ski in a while because of work.
96,i hate to be a disappointment to the people i love.,i want a girlfriend.,"I've gotten a lot better at interpersonal relationships, that's why I think I'm ready for a girlfriend.",I don't think I would be successful without a hair transplant.,If my hair fell out I would just be too nervous to be around people.,I don't think I would be a very happy person if I didn't have a hair covering my head.,If I don't have any hair I'll be a disappointment to my friends.,I'm a messy person so I have to be socialized to cope with it.
97,i hate to be a disappointment to the people i love.,i want a girlfriend.,"My family expects me to get married and have kids, so when I'm single it disappoints them.",I want to get my own place and get a new job.,"I know, I'm sorry. I hope you have a great day.","I do too, but sometimes I just need to make things.","That's cool, what do you do for work?",My job also allows me to fulfill my desire to disappoint people.
100,i hate to be a disappointment to the people i love.,i want a girlfriend.,"i know,my brother worries all the time about what his girlfriend thinks of him.",I don't hate being a disappointment to people I love. I think I'm more of a disappointment to myself than anyone else. I'm too selfish to care about how others think of me.,"If people are expecting me to be a good cook, then they are sorely mistaken.",Sometimes I wish I had more time to spare at work.,So you are a driver for a bakery where you help people make cakes? That sounds like a fulfilling job.,I always drive to my bakery to make cookies for my coworkers.
101,my wedding is set for april 11.,i want candy.,What kind of stuff are you getting or preparing for the wedding?,"I'm sure you'll look great with red hair after the wedding, but I think I'd rather have a healthy look.",I think I might get a wig for my wedding because of all the reddening.,"My wedding is set for April 11, and my follicles are reddened so I can't wait to see them before it gets too late.",I have red ferns in my hair.,My follicles look redened after my wedding.
102,my wedding is set for april 11.,i want candy.,I am thinking of what I should give people for wedding favors.,I spend my afternoons swimming on Thursdays when the weather's warm and I have the time off work to enjoy the water.,I spend my afternoons swimming when I am not busy at my wedding.,Afternoons are my favorite time of the week because I get to relax by swimming.,I don't have that much time to swim since I'm busy working.,I go swimming on the weekends with my friends.
103,my wedding is set for april 11.,i want candy.,At my wedding I want people to enjoys themselves with sweets.  That is why at the reception I'll serve lots of candy.,I'm thinking of getting a vegetarian diet started.,"I will be attending a wedding on April 11, 2013!","My wedding is set for april 11, and I'm going to be vegetarian for the wedding.",I am thinking of getting a vegetarian diet.,"When I get married, I'm going to completely switch to vegetarian."
104,i hope i get to go skydiving while i still can.,i own reptiles.,I like to live on the edge myself through my choice of pets.,I want to go skydiving while I still can.,I would love to go skydiving while I still can.  I love meat so much that I even want to cook it for my next trip to the sky.,I'd have to fly a plane into a mountain range to get there.,"I haven't skydived in years, but I still enjoy meat.",I love going skydiving.
105,i hope i get to go skydiving while i still can.,i own reptiles.,I am not quite that adventurous.,I don't have a family at all.  My only family is my girlfriend.,"When I had my kid, we were skydivinging while he was still in school.","I have never skydived before, but my family has.",I wish I could go skydiving but my family is too busy.,That would be so cool.  I have just started school.
106,i hope i get to go skydiving while i still can.,i own reptiles.,i like interesting hobbies,"I need to get my license first, but as of right now I'm just a cashier in a supermarket.","I do too, but it's a lot of work. I have to get back in shape after I leave the job.",I wish I had the time or money to go skydiving.,"One of my favorite hobbies is skydiving, but it takes up too much time to do while at work.",I need to get out of my apartment before I get too stressed.
108,i like to surf.,i am a mechanic.,What is it you do for a living?,I like to visit the beaches too because my kids go surfing all the time.,I like to go to the beach with my kids.,When I'm not surfing I'm tending to my pets.,You should see some of the waves that I take my kids on.,I like to take my kids on trips.
109,i love to sing.,i like to cook breakfast on sundays.,I relax by singing in the shower on sundays.,I like to sing when I am shopping.,I sing when I buy clothes.,I sing when I buy clothes,I sing when I buy clothes.,I sing a lot in my free time.
110,i live in the country.,my work is in leadership at safeway.,i commute to work in the city,We used to go camping in the country.,I grew up in the country and lived in the country for years.  I met my father on the church grounds.,"I grew up in the country where I went to church, but then moved to a bigger city.",That must have been hard for you growing up.,I grew up in a rural area.  My dad taught the sermon at the church where I live.
111,i live in the country.,my work is in leadership at safeway.,I live way out in the country which creates a long drive into work at Safeway.,I like the color of the sky.  It reminds me of blue.,I don't like blue because it clashes with my green.,"I live in the country but I prefer bright colors, like blue, green, and pink.",I prefer the color of the sky.,I prefer the color of the sky.
112,i live in the country.,my work is in leadership at safeway.,I have to travel a good ways to get to work.,I grew up in a rural area and always had a good home cooked.,"I grew up in a rural area, and my mom is a local chef.",I've had better luck cooking with relatives in the city.,I am from the city.  My mother is from the country.,I am from the city but my mother is the greatest chef in the world.
