index,context,target,output,neg1,neg2,neg3
71,i am a father.,i like basketball.,I grew up in a house that watched a lot of sports. I believe that's why I like basketball.,"My mother lived out that way before she passed away.  She's still alive, but she used to volunteer at the hospital for nurses after she passed away.",My parents died in battle.,I am also a father in a hospital.
72,i am a father.,i like basketball.,I really like to spent time outside with my boys playing basketball.  Fortunately I like basketball.,I also love to learn lessons from my son.,I love to watch my mother having a child.,I also like to watch their children.
73,i am a father.,i like basketball.,I like basketball a lot and see a lot of fathers with their sons playing at the park I go to.,I'm not a father.,I want to sit up for my child when I'm not working.,"My son is also a father, but being at my parents'house was hard because he couldn't sit down."
74,i love to eat cheese.,i like to cook stews.,Have you ever tried cooking in a Crock Pot?,I wish I had the time to eat cheese as well!  It's hard to give up my education.,"Well then, I'm going to college for education.",I enjoy cheese as a treat that I can spend time with.
75,i love to eat cheese.,i like to cook stews.,I like cheese as a side to a hot dish.  Like a stew or soup.,Cheese is so good that it causes my digestion to get worse.,I need to eat less cheese to gain weight.,I love eating cheese so much I am drawn to many different foods.
76,i love to eat cheese.,i like to cook stews.,"I'm lactose intolerant unfortunately. I prefer to make soups and stews, especially in this cold weather.",I have had some good friends who were creative and had great tastes.,I teach children how to eat cheese because it helps them express themselves by eating it.,"You love to eat cheese right? I like cheese after school. Maybe its a good teacher, I like to teach kids about food, like how to make food."
77,i enjoy walking my canine friend.,i own a pet reptile.,I like animals and have a few different kinds of pets.,I like to take them on walks.,My pets enjoy being outside and playing.,"I sometimes wonder about my own race, and what I look like."
78,i enjoy walking my canine friend.,i own a pet reptile.,"I don't just have dogs, I also have other types of pets.",I'm not good at that either.,I don't like walking either but I do enjoy doing acting.,I had to quit acting because I couldn't stand it.
79,i enjoy walking my canine friend.,i own a pet reptile.,"How nice! I am an animal lover myself—in fact, I have a pet reptile at home!",I often walk my dog in memory of him,You are a good companion to a library staff member,"I do too, but I'm going to school to be a library worker."
80,i love meat.,i have a new job selling cars.,My tastes are too expensive.,Meat is my favorite hobby.,I like having a meaty hobby too. I would like to play this as a hobby.,My dad used to have a good cow farm and there was a lot of rolling.
81,i love meat.,i have a new job selling cars.,I had a steak last night to celebrate my new job selling cars.,"I love making meat products, I travel a lot in my career.",I like to travel to meatpacking restaurants.,I was trying to make a stew last night.
82,i have a short commute to get to my job.,i just moved out of my parents to live on my own.,Yeah that is likely the most stress-free way of doing it and saving money/time..,I like to listen to music while I drive to work.,I don't commute much.,If I have to drive to work I like to play music.
83,i have a short commute to get to my job.,i just moved out of my parents to live on my own.,My parents live near where I work.,My job is a 15 minute walk from my house so it takes me a very long time to cook which I think makes my passion exciting!,I commute to my job by cooking.,What kind of work do you do.
84,i have a short commute to get to my job.,i just moved out of my parents to live on my own.,One of the reasons I moved is because my new apartment is right next door to my job. It takes me five minutes to walk there.,I am also interested in traveling up to get away from the cold.,I love driving through areas to shops at night and shopping in stores.,I take my short commute to work.
85,i like to race rc cars.,i love to eat fish.,I love when it rains.,I race rc cars for money in my spare time,I like to see racers at the races.,I like to watch children race.
86,i like to race rc cars.,i love to eat fish.,Rc racing is my favorite hobby along with fishing.,I would like to start doing ballet as my career.,I like to race rc cars because they remind me of ballet.,They are fun to be on the road with.
88,i learnt to drive.,i like making a salmon entree.,"That's awesome! Recently, I've started to learn how to cook, is there any dish you're good at making?",He did a lot of learning for me.,One day I was in a accident and it affected my life so much I had to leave my brothers house and live with my mom.,I found it difficult to learn to drive.
89,i learnt to drive.,i like making a salmon entree.,I had a rough night sleeping in my new bed last night.,I've learned that sometimes it's nice to start from the ground.,My biggest problem is I really like to drive too much to do everything when things get too bad.,I tried driving on the road but there never seem to be traffic.  So I'm stuck being a guy instead.
90,i learnt to drive.,i like making a salmon entree.,I just learned to drive too. last night I drove to the store to pick up some salmon - it's my favorite fish. I make a great salmon entree.,I didn't have time to ride.,"i wanted to raise a pet when i was younger, and now I work as a vet.",I grew up in the rural area.
91,i am in the army.,i fly airplanes.,I am in military also but in the airforce branch as a pilot.,"I have a full time job, and my family is always away.",I'm in the military for three years now.,I used to play guitar in the army.
92,i am in the army.,i fly airplanes.,"What a coincidence, I'm in the Air Force. I travel all over and fly airplanes.",I wish I had more time to spend with my art.,I want to be an artist but have no place to go.  I think I would like to be a farmer like my father and family.,I want to be an artist in an army but I didn't want to pay for college.
93,i am a competitive ski racer.,although i ski down high hills,Thats cool. Those high hills look scary.,I like to run.,I'm also a competitive cross country skier.,I run for my team at the local running club.
94,i am a competitive ski racer.,although i ski down high hills,I don't like high terrain.,"There are so many things that are exciting to do, and it would be hard for me to do it as a skier.","I love to ski, but I don't ever want to see an airplane.",i like snowboarding
96,i hate to be a disappointment to the people i love.,i want a girlfriend.,"I've gotten a lot better at interpersonal relationships, that's why I think I'm ready for a girlfriend.","I don't like being disappointed for not being able to do everything, but I can certainly find ways to make what I want, in any way as long as I'm satisfied with what I find.",I like doing creative work but i need to improve my creative skills.,I am a disappointment to all of my friends and family
97,i hate to be a disappointment to the people i love.,i want a girlfriend.,"My family expects me to get married and have kids, so when I'm single it disappoints them.",I wish it were so easy to improve my employment situation.,I hate to be a failure to the people I love.,"When I get fired or lose a job, I feel like I've made a huge mistake, which I regret every day, but having to quit is going to be so hard."
100,i hate to be a disappointment to the people i love.,i want a girlfriend.,"i know,my brother worries all the time about what his girlfriend thinks of him.",What kind of wedding do you want to attend? I'm thinking of a wedding at my church.,I bet you do. I'm just a great mom.,"I love to be disappointed with people I love, but I'm not as good of a person as a person that can be happy with their partner."
101,my wedding is set for april 11.,i want candy.,What kind of stuff are you getting or preparing for the wedding?,My grandpa died on that day too.,Well that's odd. What do you like to do with your time at the park?,"I don't get the wedding until April 1, so I usually wait until then to get involved with the family planning process."
102,my wedding is set for april 11.,i want candy.,I am thinking of what I should give people for wedding favors.,"We're getting married on the 12th.  I don't like music, but I love watching the fireworks with my fiance.",My favorite band is from a different country. I just don't like to hear it all the time.,I'll be wearing my wedding band when it comes time for my wedding.
103,my wedding is set for april 11.,i want candy.,At my wedding I want people to enjoys themselves with sweets.  That is why at the reception I'll serve lots of candy.,All my guests have been pretty healthy.,I really wish I had my wedding set ahead of time. My wedding is in march,I wish we could have an anniversary wedding for April 11.
104,i hope i get to go skydiving while i still can.,i own reptiles.,I like to live on the edge myself through my choice of pets.,I want to fly out on a tourney plane so I can go flying on a tourney team.,I hope I can find a place to go to skydiving.,I work from home because I can only work hard and stay at work.
105,i hope i get to go skydiving while i still can.,i own reptiles.,I am not quite that adventurous.,I like to wear a helmet to protect against the elements.,Some kids are like that.,I think children are fascinating.  I am fortunate that I am a father of two.
106,i hope i get to go skydiving while i still can.,i own reptiles.,i like interesting hobbies,I wish I could get away from my greyhound and just take him on a walk.,My dog and I always love to go on adventures together.,I really want to go skiing but I just don't have time to do it.
108,i like to surf.,i am a mechanic.,What is it you do for a living?,I prefer to drive in a convertible.,I like to eat pizza as I ride my surfboard at the beach.,I like to stay hydrated.
109,i love to sing.,i like to cook breakfast on sundays.,I relax by singing in the shower on sundays.,"I'm good at it too, I've always wanted to do it though.  I live around the world and I'm in the perfect place to practice it.",I like to listen to music when I am playing video games at the beach.,"My singing abilities are not limited to that area of the ocean either, I like to sing at beaches."
110,i live in the country.,my work is in leadership at safeway.,i commute to work in the city,I don't go to restaurants because I want to get my career working abroad.,I live in a country where almost all of the food comes from farms and where there are no big restaurants.,I travel from the country to work.
111,i live in the country.,my work is in leadership at safeway.,I live way out in the country which creates a long drive into work at Safeway.,I don't care about the environment because I live in the country.,I have a large farm in the country.,I like my country more than my environment because its so polluted.
112,i live in the country.,my work is in leadership at safeway.,I have to travel a good ways to get to work.,I don't mind my beef.  My favorite meat is red meat.,I cook my beef in an office kitchen.,I like beef.
113,health is important to me.,i use a wheelchair.,"Same, that's why exercise is so important to me. Do you run or do any physical activities?",Do you like to drink at bars?,"health is important to me too, so I go to clubs to watch people drink and drink, and in some clubs I like to go to people watch as well.",I'm happy to meet someone new at a bar
115,health is important to me.,i use a wheelchair.,I try to stay healthy.  It's hard to get around when you are in a wheelchair though.,I worry that my health could be harmed because I have always been afraid of being sick.,"I find a lot of things unhealthy, and I hope to help others change their lives.",i would like to see it go to my pet too.  I hate going in animal shelters
117,i am relocating for a job.,my mom was a british ballerina.,I grew up in Britain.  My mom was a ballerina there.,I am living in a foreign country right now.,I will have to be super careful.,I have a German car and I'm not going anywhere.
118,i am relocating for a job.,my mom was a british ballerina.,The UK has a lot of openings for jobs right now.,My father is a salesman.,My mother just wanted to move to a better part of town because she was going to be selling her house.,I have relatives that have owned a few houses and all have issues.
119,i have always liked nice cars.,my wedding is set for april 11.,I'll ride a nice limo to my wedding.,I like my car because it has a nice car with a nice car in it,"I like nice cars too, especially those cars that have the best seats in the house",I used to drive a nice car when I was younger.
122,my parent works to help children.,i am a cashier in a supermarket.,I work with my mom.  We work as cashiers in the supermarket.,There are many things my parents do that they are afraid that I will do.,I have a part time job.,That sounds scary.
123,my parent works to help children.,i am a cashier in a supermarket.,I work next door to my parent's job.,My parents and I often go to the holiday shopping at the store I work at.,"This is why we don't celebrate holidays properly, we use our Christmas pay to find ways to support our families.",They have holidays on christmas.
125,i fell in love this summer.,i hate school.,I fell in love with my girlfriend whom I met during my summer vacation.  I have to go back to college away from her and now I hate school.,"I know, the last time I fell in love I got hit by a car, but I learned to play the piano.",When I was younger I played the piano in a music class when I was younger.,"As a child, I fell in love with playing the piano."
126,i fell in love this summer.,i hate school.,School without air conditioner in the summer make me sweat and suffer so I hate school.,I fell in love with Italy in summer.  I like to buy new clothes from Italy and Italy is the best place to buy clothes.,I am really interested in Italian food.,I fell in love with Italian food as well.
127,my husband and i have 4 daughters and 1 son.,i hate seeing animals in pain.,Our family adopted a dog from the streets.,"My oldest daughter is 11, her youngest daughter is 4, so we have an extended family.","They are so cute together. And we have 4,000 dollars in house.",My four kids all watch little mermaid and never get as far in it.
128,my husband and i have 4 daughters and 1 son.,i hate seeing animals in pain.,They are all depressed about our sick puppy.,I like to take my kids to the park.,My sons have three girls and two boys.,My two daughters are all vets
132,i just started college.,i like eating vegetables.,Congratulations! What do you like to eat at college?,I hope you don't have to sit on an all female lecture group right now,I heard my college was looking for a person.,College is just another way to make money through my favorite hobbies.
133,i have won tap dance competitions.,i love to bake cakes.,That's exciting! I don't really know how to dance but I can bake.,My best friend was in a class with me.,This is part of why I spend too much time at home.,I take shopping to go to competitions and I've been spending way too much time shopping.
134,i spend a lot of time outside.,i care about the environment.,I like to clean up as I walk in nature.,I love going outside and exploring.,There are so many cool places to walk.,I take my study abroad abroad abroad at college.
135,i spend a lot of time outside.,i care about the environment.,I like the outdoors as well. I love nature and want to preserve it.,I like to explore new worlds,When I am not playing video games I like building big city houses.,"I like to play video games.  So much fun. I played a lot of Halo, and I found it relaxing to play on the floor, with a tv and playing video games."
137,my locks are chestnut.,i am a educator.,I like this color since I feel it suits one for their job sometimes.,I like to reach things high and use my chestnut to reach things high.,I have to reach a high place to reach things in high places.,My cats love climbing things in high places.
138,my locks are chestnut.,i am a educator.,My locks are a nice chestnut color and kids play with them.  They mainly do this a lot because I'm a teacher.,I love flowers.  I get lots of compliments on them.,I tend to keep my chestnuts in separate flowers.,My chest hair is chestnut.
139,my locks are chestnut.,i am a educator.,There is a little girl in my class that has chestnut hair.,My locks are chestnut. pets and I have a lot of pets in the house.,My locks are chestnut. I like to keep my pets well contained,My pets have all had the same haircut as me! All of them.
141,i prefer beasts to humans.,i am kind of a pet hoarder.,I don't like people as much as pets either.  I have a lot of pets.,For me animals are the worst because they have no room in my body.,My best friend was an er at the ER and it was pretty scary.,"I'm more of a dog person so I prefer to stay in the ER right when I get back home, like in the morning."
142,i prefer beasts to humans.,i am kind of a pet hoarder.,I definitely feel the same way.,I like animals.,I guess my mom had a lot of dogs when she lived like that.,My mom liked the animals.
143,i prefer beasts to humans.,i am kind of a pet hoarder.,I would like to get my first pet.,I love watching sports at the bars.,Being a beast is fun.,I only go to bars to watch animals.
145,i love food.,i love to travel.,I love trying new restaurants when traveling overseas.,I just moved out in a new neighborhood in New York.,What about your spouse and children?,I take care of my family because there are so many dishes and styles.
146,i love going to concerts on the weekend.,i collect stamps.,Hobbies are fun to have.  I collect stamps as a hobby and I love to collect stamps of famous musicians.,I also enjoy relaxing in the garden.,I prefer to relax at home.,I love concerts and I take my time thinking about what to get for the performers.
147,i love going to concerts on the weekend.,i collect stamps.,I like to go to concerts once in a while but my stamp collection hobby takes up too much of my free time anymore.,I like to take a tour of my neighborhood.,I really like concerts.  I like to go to concerts on the weekend.  I want to know what people are wearing at a concert on weekends,I like to play concerts in the shade.
148,i love going to concerts on the weekend.,i collect stamps.,My favorite animal is a cat.,I wish I could go to concerts more often.,"I really like bands that play the Twins on the weekends, especially.",i like to listen to music on the weekends.
151,i am currently looking for a job.,i am not a fan of science.,I think I'd enjoy working in a lab.,"I like to read books, but I don't have a job.",I have many books about economics you can find at my bookstore.,I work at the library which is where I primarily sell things.
152,i am currently looking for a job.,i am not a fan of science.,"I actually quit my last job because it involved science, so now I'm looking for a job in business instead.",I am currently unemployed.,"When I was a teenager, I was working as a chef.",I am looking for a job because I am a parent.
153,i am currently looking for a job.,i am not a fan of science.,There are a lot of positions available for scientists.,I've been applying for jobs for basketball.,I am currently seeking a job and this position requires a sports related education.,I might be interested in working in sports.
154,i like books about trains.,my cat died.,I have tons of books about cats. I guess I don't need them now.,I enjoy reading books about trains on trains.,My favorite book about trains is an old book on the internet called Great White by Robert Anton Wilson.,I like the great white's story.
155,i love winning.,coffee is important to me.,Coffee keeps me alert to help me win.,I like to win in the lottery.,I don't have the money for a great car right now but I can't wait to buy a great one.,The way I win in the lottery is that I don't spend any money on cars because I don't need to to.
156,i love winning.,coffee is important to me.,"In order to win, I need to be awake and drink coffee a lot.",My favorite thing I can do is win.,I have a lot of winning machines and I love to play sports for fun,"There is always something special about winning, especially when a new team is playing."
158,i am a lover of italian food.,my father has a very prestigious job.,My father is the local butcher,I love cooking Italian food.,I like to have a few specializations for my favorite cuisine.,I want to learn Italian but I don't want to be labeled as edgy.
159,i am a cashier in a supermarket.,my parent works to help children.,I wish I had a more fulfilling job.,Do you have any hobbies?,I like working in nature,I like to spend time outside to spend time with my dogs.
160,i am a cashier in a supermarket.,my parent works to help children.,A lot of times I notice people may follow employment patterns or choices of those around them.,I like to buy soda when I need to chew.,Well if that includes soda I would be open to working with you.,I like to drink and spend money for things.
161,i am a cashier in a supermarket.,my parent works to help children.,On holidays my parents and the children they work with all volunteer their time at the supermarket to collect money for the salvation army.,I like to buy expensive shoes.,We are all cashiers in a supermarket.,My job pays very well.
162,i am a cashier in a supermarket.,i enjoy going to see them occasionally.,"They also work at the supermarkets, and I go see them when I go shopping.",Sometimes I'll go visit my family in the evening and they would like to buy some groceries from me.,I travel the world to work.,I don't have a house in the midwest.
163,i am a cashier in a supermarket.,i enjoy going to see them occasionally.,I don't usually have money to spare but when I do I like to visit my parents.,I like to make friends.  I have my own cell phone.,i love working in a supermarket.,I work at a cashier and I'm always at the register looking for people to buy things for.
165,i love to use oils to create vivid landscapes.,i take care of my body.,I avoid oils though because of the chemicals.,I like to swim in the ocean to create stunning images.,i do this with a surfboard.,When I'm not swimming I find relaxing relaxing swimming.
166,i love to use oils to create vivid landscapes.,i take care of my body.,I use lead-free oils.,I like using candles to make colorful scenes.,"I used oil painting for a romantic picture and I like drawing flowers to celebrate my favorite holiday, spring.",I like to use a floral painting.
